id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,time_between_first_and_last_comment,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,inline_comments,effective_comments,average_time_between_comments,tests_run,tests_fail,tests_error,skipped_tests,self_merged_commits
4261,merged,1,5,0,4,1202740357,8,2,6,1208921.76,5.992310449541053e+307,0,5.992310449541053e+307,24,18,2,0,1209128941,2,124,14,0,0,0,0,0,0,0.0,1098,0,0,0,2
4528,merged,0,0,0,0,292205.4915,13,9,4,781567216,5.992310449541053e+307,0,5.992310449541053e+307,39,39,0,0,781772352,2,0,0,0,0,0,0,0,0,0.0,2517,0,0,0,1
4184,merged,0,8,0,8,0.0,3,1,2,434009575,5.992310449541053e+307,0,5.992310449541053e+307,9,6,1,0,519164015,2,30,28,0,0,0,0,0,0,0.0,185,7,73,0,0
4674,merged,0,7,0,7,504707079,4,2,2,597567025,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,597975659,2,92,99,0,0,0,0,0,0,0.0,776,0,0,0,0
4114,merged,1,8,0,7,0.0,8,0,8,1802249035,5.992310449541053e+307,0,5.992310449541053e+307,16,0,8,0,1897889229,2,175,73,0,0,0,0,0,0,0.0,1480,40,584,0,0
4183,merged,2,12,0,10,0.0,1,0,1,-64214,5.992310449541053e+307,0,5.992310449541053e+307,3,0,1,0,97848,2,111,69,0,0,0,0,0,0,0.0,185,7,73,0,0
4174,merged,0,9,0,9,1373919435,8,1,7,1373919465,5.992310449541053e+307,0,5.992310449541053e+307,23,18,2,0,1374261203,2,220,56,0,0,0,0,0,0,0.0,1408,12,146,0,0
4181,merged,0,4,0,4,0.0,2,0,2,8994786,5.992310449541053e+307,0,5.992310449541053e+307,6,0,2,0,10113762,2,8,7,0,0,0,0,0,0,0.0,370,11,146,0,0
4216,merged,1,2,0,1,77385786,7,2,5,79036326,5.992310449541053e+307,0,5.992310449541053e+307,21,21,0,0,79784345,2,33,0,0,0,0,0,0,0,0.0,1211,0,0,0,0
4323,merged,1,7,0,6,421088835,10,7,3,511462214,5.992310449541053e+307,0,5.992310449541053e+307,30,30,0,0,511682234,2,112,92,0,0,0,0,0,0,0.0,1830,0,0,0,0
4450,merged,0,8,0,8,91023874,6,4,2,601112.15,5.992310449541053e+307,0,5.992310449541053e+307,18,18,0,0,601901617,2,51,50,0,0,0,0,0,0,0.0,1158,0,0,0,0
4182,merged,1,7,0,6,0.0,1,0,1,-412629,5.992310449541053e+307,0,5.992310449541053e+307,3,0,1,0,984459,2,41,53,0,0,0,0,0,0,0.0,185,6,73,0,0
4148,merged,0,4,0,4,0.0,4,0,4,1125097993,5.992310449541053e+307,0,5.992310449541053e+307,9,0,4,0,1125283362,2,42,30,0,0,0,0,0,0,0.0,740,22,292,0,0
4165,merged,0,4,0,4,0.0,3,0,3,434407807,5.992310449541053e+307,0,5.992310449541053e+307,6,0,3,0,509343749,2,27,24,0,0,0,0,0,0,0.0,555,15,219,0,0
6225,merged,1,5,0,4,0.0,3,3,0,8902233,9060747,2,5.992310449541053e+307,6,6,0,0,86458427,3,41,29,0,0,5,3,2,2,1228.35875,582,0,0,0,0
