id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,time_between_first_and_last_comment,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,inline_comments,effective_comments,average_time_between_comments,tests_run,tests_fail,tests_error,skipped_tests,self_merged_commits
5666,merged,29,126,23,74,0,1,0,1,-394724,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,20185,1,1526,1368,0,0,0,0,0,0,0,0,0,0,0,33
5417,merged,0,3,0,3,0,3,0,3,1890206273,1812341724,1,1812341724,12,12,0,0,1900735611,3,16,5,0,0,1,0,1,1,0,0,0,0,0,0
5352,merged,0,2,0,2,0,2,0,2,429185708,5.992310449541053e+307,0,5.992310449541053e+307,8,8,0,0,780694182,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
5340,merged,0,1,0,1,0,6,0,6,2499405589,2433549732,4,81533652,24,24,0,0,2675581733,2,54,6,0,0,8,0,8,5,336002.2971428571,0,0,0,0,0
5334,merged,1,3,0,2,0,1,0,1,-46.13,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,63378223,2,344,237,0,0,0,0,0,0,0,0,0,0,0,0
5329,merged,1,3,0,2,0,3,0,3,13404778,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,77303994,1,344,237,0,0,0,0,0,0,0,0,0,0,0,0
5328,merged,0,4,0,4,0,2,0,2,163856.3,5.992310449541053e+307,0,5.992310449541053e+307,8,8,0,0,167751841,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0
5326,merged,0,1,0,1,0,2,0,2,6890349,5.992310449541053e+307,0,5.992310449541053e+307,8,8,0,0,7190866,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5307,merged,0,7,0,7,0,5,0,5,173331632,8984897,1,8983197,20,8,4,0,178404491,2,61,7,0,0,4,0,4,4,0.5666666666666667,0,0,0,0,0
5295,merged,0,2,0,2,0,4,0,4,1734841612,5.992310449541053e+307,0,5.992310449541053e+307,16,7,3,0,1996376895,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
5294,merged,0,1,0,1,0,2,0,2,1733626134,5.992310449541053e+307,0,5.992310449541053e+307,8,5,1,0,1998161811,2,36,2,0,0,0,0,0,0,0,0,0,0,0,0
5289,merged,0,1,0,1,0,2,0,2,8536.08,5.992310449541053e+307,0,5.992310449541053e+307,8,2,2,0,85388202,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0
5284,merged,0,4,0,4,0,4,0,4,14628996,13107759,2,4362259,16,4,4,0,88327896,2,20,1,0,0,3,0,3,3,4372.75,0,0,0,0,0
5269,merged,0,1,0,1,0,3,0,3,10072915,8848522,1,8848522,12,3,3,0,10673111,2,11,3,0,0,1,0,1,1,0,0,0,0,0,0
5264,merged,0,1,0,1,0,2,0,2,644.45,5.992310449541053e+307,0,5.992310449541053e+307,8,2,2,0,1398467,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5263,merged,0,1,0,1,0,2,0,2,4075298,5.992310449541053e+307,0,5.992310449541053e+307,8,2,2,0,7379976,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5257,merged,0,1,0,1,0,9,0,9,1309221287,1204256741,2,777020642,36,12,8,0,1309463885,4,12,3,0,0,3,1,2,2,213618.0495,0,0,0,0,0
5200,merged,0,6,0,6,0,2,0,2,6785811,5.992310449541053e+307,0,5.992310449541053e+307,8,2,2,0,7332012,1,100,37,0,0,0,0,0,0,0,0,0,0,0,0
5195,merged,0,3,0,3,0,3,0,3,10192784,5.992310449541053e+307,0,5.992310449541053e+307,12,3,3,0,171818839,1,60,12,0,0,0,0,0,0,0,0,0,0,0,0
5193,merged,0,6,0,6,0,2,0,2,6201495,5.992310449541053e+307,0,5.992310449541053e+307,8,2,2,0,602431353,1,98,42,0,0,0,0,0,0,0,0,0,0,0,0
5191,merged,0,3,0,3,0,2,0,2,10208965,5.992310449541053e+307,0,5.992310449541053e+307,8,2,2,0,88122169,1,46,19,0,0,0,0,0,0,0,0,0,0,0,0
5185,merged,1,4,0,3,0,2,0,2,7617143,5.992310449541053e+307,0,5.992310449541053e+307,8,8,0,0,64516573,1,258,8,0,0,0,0,0,0,0,0,0,0,0,2
5184,merged,0,2,0,2,0,3,0,3,2620848,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,82837433,2,17,13,0,0,0,0,0,0,0,0,0,0,0,1
5178,merged,0,5,0,5,0,7,0,7,82732531,9296826,1,9296826,28,28,0,0,86532409,2,123,95,0,0,1,0,1,1,0,0,0,0,0,0
5165,merged,1,5,0,4,0,3,0,3,108454464,5.992310449541053e+307,0,5.992310449541053e+307,12,11,1,0,184923479,2,213,17,0,0,0,0,0,0,0,0,0,0,0,0
5148,merged,0,1,0,1,0,3,0,3,529455517,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,601453863,2,221,65,0,0,0,0,0,0,0,0,0,0,0,0
5146,merged,2,4,0,2,0,3,0,3,606503701,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,612400565,2,225,50,0,0,0,0,0,0,0,0,0,0,0,0
5138,merged,1,3,0,2,0,3,0,3,170109286,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,593088.34,2,63,119,0,0,0,0,0,0,0,0,0,0,0,0
5137,merged,5,13,0,8,0,9,0,9,604345571,603528949,4,595033908,36,36,0,0,674083019,2,322,87,0,0,10,0,10,10,943.8934444444445,0,0,0,0,0
5062,merged,1,2,0,1,0,2,0,2,2516732049,5.992310449541053e+307,0,5.992310449541053e+307,8,8,0,0,2934748797,2,233,34,0,0,0,0,0,0,0,0,0,0,0,0
5039,merged,3,25,1,21,0,16,0,16,3632592296,3551843015,1,3542411759,64,25,13,0,3633094681,2,482,147,0,0,3,1,2,0,4715628,0,0,0,0,0
5035,merged,3,8,0,5,0,31,0,31,3634705423,3633862837,2,2517727356,124,109,5,0,3636490101,3,462,5,0,0,6,1,5,5,223227.09619999997,0,0,0,0,0
5020,merged,7,16,0,9,0,14,0,14,3119734266,3032517356,0,3032517356,56,38,6,0,4161322766,3,488,8,0,0,1,1,0,0,0,0,0,0,0,0
5003,merged,1,4,0,3,0,7,0,7,4671044643,5.992310449541053e+307,0,5.992310449541053e+307,28,22,2,0,4741119085,2,161,3,0,0,0,0,0,0,0,0,0,0,0,0
4985,merged,0,14,12,2,0,1,0,1,-212705,5.992310449541053e+307,0,5.992310449541053e+307,6,4,1,0,2040481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4984,merged,1,3,0,2,0,1,0,1,-85424922,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,34878,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1
4914,merged,1,4,0,3,0,1,1,0,-2482317841,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,49438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4865,merged,48,48,0,0,0,1,1,0,-426353,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,9314,1,965,0,0,0,0,0,0,0,0,0,0,0,0,3
4864,merged,48,48,0,0,0,1,1,0,-464833,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,19351,1,965,0,0,0,0,0,0,0,0,0,0,0,0,2
4861,merged,0,14,0,14,0,1,0,1,-1735504436,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,19958,1,95,11,0,0,0,0,0,0,0,0,0,0,0,4
4817,merged,3,67,17,47,0,1,0,1,-1799664817,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,18948,1,1484,1521,0,0,0,0,0,0,0,0,0,0,0,1
4793,merged,0,14,0,14,0,9,0,9,7268624698,74044939,0,74044939,27,27,0,0,7324647738,2,95,11,0,0,1,1,0,0,0,0,0,0,0,3
