,COHESION,COMPLEXITY,,,,INHERITANCE,,,COUPLING,SIZE,,,
,LCOM(PercentLackOfCohesion),Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT(MaxInheritanceTree),NOC(CountClassDerived),Base Classes(CountClassBase),CBO(CountClassCoupled),LOC,CLOC,Number of Methods ,Number of Classes
AuthController.java,0,2,2,1,1,1,0,1,4,4133,190,631,114
AuthenticationRequest.java,50,1,7,1,0,1,0,2,0,,,,
AvaliacaoController.java,50,2,12,1,1,1,0,1,4,Total,,,
AvaliacaoRepository.java,0,0,0,0,0,2,0,1,0,5068,,,
AvaliacaoRisco.java,87,1,16,1,0,1,0,1,5,,,,
AvaliacaoRiscoService.java,0,0,0,0,0,0,0,0,1,,,,
AvaliacaoService.java,0,0,0,0,0,0,1,0,1,,,,
AvaliacaoServiceImpl.java,50,1,4,1,0,1,0,2,3,,,,
CategoriaRisco.java,66,1,6,1,0,1,0,1,1,,,,
CategoriaRiscoController.java,50,1,10,1,1,1,0,1,4,,,,
CategoriaRiscoRepository.java,0,0,0,0,0,2,0,1,0,,,,
CategoriaRiscoService.java,0,0,0,0,0,0,1,0,1,,,,
CategoriaRiscoServiceImpl.java,0,1,6,1,0,1,0,2,2,,,,
CorsFilter.java,0,1,5,1,1,1,0,2,0,,,,
DemoApplicationTests.java,0,1,1,1,0,1,0,1,0,,,,
ExceptionHandlingController.java,0,1,6,1,0,2,0,1,7,,,,
ExceptionResponse.java,75,1,8,1,0,1,0,1,0,,,,
FatorAvaliacaoControle.java,80,1,10,1,0,1,0,1,1,,,,
FatorAvaliacaoControleController.java,50,2,13,1,1,1,0,1,4,,,,
FatorAvaliacaoControleRepository.java,0,0,0,0,0,2,0,1,0,,,,
FatorAvaliacaoControleService.java,0,0,0,0,0,0,1,0,1,,,,
FatorAvaliacaoControleServiceImpl.java,0,1,6,1,0,1,0,2,2,,,,
FileUploadException.java,0,1,1,1,0,2,0,1,0,,,,
GestaoCompetenciaApplication.java,0,1,1,1,0,1,0,1,0,,,,
Impacto.java,72,1,14,3,1,1,0,1,1,,,,
ImpactoController.java,50,1,12,1,1,1,0,1,4,,,,
ImpactoRepository.java,0,0,0,0,0,2,0,1,0,,,,
ImpactoService.java,0,0,0,0,0,0,1,0,1,,,,
ImpactoServiceImpl.java,0,1,6,1,0,1,0,2,2,,,,
Indicador.java,83,1,12,1,0,1,0,1,3,,,,
IndicadorController.java,0,1,1,1,0,1,0,1,1,,,,
IndicadorRepository.java,0,0,0,0,0,2,0,1,0,,,,
IndicadorService.java,0,0,0,0,0,0,1,0,0,,,,
IndicadorServiceImpl.java,0,1,1,1,0,1,0,2,1,,,,
InvalidJwtAuthenticationException.java,0,1,1,1,0,2,0,1,0,,,,
JwtConfigurer.java,0,1,2,1,0,2,0,1,2,,,,
JwtTokenFilter.java,0,2,4,1,2,2,0,1,1,,,,
JwtTokenProvider.java,66,1,9,3,2,1,0,1,2,,,,
Matriz.java,80,1,14,3,1,1,0,1,4,,,,
MatrizRepository.java,0,0,0,0,0,2,0,1,0,,,,
MatrizService.java,0,0,0,0,0,0,1,0,1,,,,
MatrizServiceImpl.java,75,1,2,1,0,1,0,2,3,,,,
NivelRisco.java,83,1,16,3,1,1,0,1,1,,,,
NivelRiscoController.java,50,1,4,1,1,1,0,1,3,,,,
NivelRiscoRepository.java,0,0,0,0,0,2,0,1,0,,,,
NivelRiscoService.java,0,0,0,0,0,0,1,0,1,,,,
NivelRiscoServiceImpl.java,0,1,4,1,0,1,0,2,2,,,,
NotAllowedException.java,0,1,1,1,0,2,0,1,0,,,,
Ocorrencia.java,87,1,16,1,0,1,0,1,3,,,,
OcorrenciaController.java,0,2,12,1,1,1,0,1,3,,,,
OcorrenciaRepository.java,0,0,0,0,0,2,0,1,0,,,,
OcorrenciaService.java,0,0,0,0,0,0,1,0,1,,,,
OcorrenciaServiceImpl.java,0,1,4,1,0,1,0,2,2,,,,
Periodicidade.java,94,1,4,1,0,1,0,1,0,,,,
PlanoContigenciaService.java,0,0,0,0,0,0,1,0,1,,,,
PlanoContingencia.java,80,1,10,1,0,1,0,1,2,,,,
PlanoDeContigenciaRepository.java,0,0,0,0,0,2,0,1,0,,,,
PlanoDeContigentciaServiceImp.java,0,1,5,1,0,1,0,2,2,,,,
PlanoDeContingenciaController.java,0,1,3,1,1,1,0,1,3,,,,
PlanoDeTratamentoController.java,0,2,2,1,1,1,0,1,3,,,,
PlanoDeTratamentoRepository.java,0,0,0,0,0,2,0,1,0,,,,
PlanoTratamentoRisco.java,90,1,20,1,0,1,0,1,2,,,,
PlanoTratamentoRiscoImpl.java,0,1,5,1,1,1,0,2,2,,,,
PlanoTratamentoRiscoService.java,0,0,0,0,0,0,1,0,1,,,,
Politica.java,91,1,83,3,2,1,0,1,8,,,,
PoliticaController.java,0,2,10,1,1,1,0,1,3,,,,
PoliticaRepository.java,0,0,0,0,0,2,0,1,0,,,,
PoliticaService.java,0,0,0,0,0,0,1,0,1,,,,
PoliticaServiceImpl.java,0,1,5,1,0,1,0,2,2,,,,
Probabilidade.java,75,1,12,3,1,1,0,1,1,,,,
ProbabilidadeController.java,50,1,12,1,1,1,0,1,4,,,,
ProbabilidadeRepository.java,0,0,0,0,0,2,0,1,0,,,,
ProbabilidadeService.java,0,0,0,0,0,0,1,0,1,,,,
ProbabilidadeServiceImpl.java,0,1,6,1,0,1,0,2,2,,,,
Processo.java,95,1,62,1,1,1,0,1,4,,,,
ProcessoController.java,0,1,10,1,1,1,0,1,3,,,,
ProcessoRepository.java,0,0,0,0,0,2,0,1,0,,,,
ProcessoService.java,0,0,0,0,0,0,1,0,1,,,,
ProcessoServiceImpl.java,0,1,5,1,0,1,0,2,2,,,,
ResourceAlreadyExistsException.java,0,1,1,1,0,2,0,1,0,,,,
ResourceNotFoundException.java,50,1,4,1,0,2,0,1,0,,,,
Risco.java,92,1,48,1,1,1,0,1,8,,,,
RiscoController.java,0,1,10,1,1,1,0,1,3,,,,
RiscoRepository.java,0,0,0,0,0,2,0,1,0,,,,
RiscoService.java,0,0,0,0,0,0,1,0,1,,,,
RiscoServiceImpl.java,0,1,5,1,0,1,0,2,2,,,,
ServletInitializer.java,0,1,1,1,0,2,0,1,1,,,,
TipoProcesso.java,66,1,6,1,0,1,0,1,1,,,,
TipoProcessoController.java,0,1,1,1,0,1,0,1,1,,,,
TipoProcessoRepository.java,0,0,0,0,0,2,0,1,0,,,,
TipoProcessoService.java,0,0,0,0,0,0,1,0,0,,,,
TipoProcessoServiceImpl.java,0,1,1,1,0,1,0,2,1,,,,
TipoRisco.java,83,1,4,1,0,1,0,1,0,,,,
TipoRisco.java,100,1,2,1,0,1,0,1,0,,,,
TratamentoRisco.java,83,1,12,1,0,1,0,1,2,,,,
TratamentoRiscoController.java,50,2,9,1,1,1,0,1,4,,,,
TratamentoRiscoRepository.java,0,0,0,0,0,2,0,1,0,,,,
TratamentoRiscoService.java,0,0,0,0,0,0,1,0,1,,,,
