,COHESION,COMPLEXITY,,,,INHERITANCE,,,COUPLING,SIZE,,,
TratamentoRiscoServiceImpl.java,0,1,4,1,0,1,0,2,2,,,,
Unidade.java,87,1,16,1,0,1,0,1,2,,,,
UnidadeController.java,0,1,14,1,1,1,0,1,3,,,,
UnidadeRepository.java,0,0,0,0,0,2,0,1,0,,,,
UnidadeService.java,0,0,0,0,0,0,1,0,1,,,,
UnidadeServiceImp.java,79,1,11,1,1,1,0,2,6,,,,
UriLocationBuilder.java,0,1,1,1,0,1,0,1,0,,,,
UserDetailsCustom.java,0,2,2,1,1,1,0,2,2,,,,
Usuario.java,89,1,21,1,0,1,0,2,1,,,,
UsuarioController.java,0,1,1,1,0,1,0,1,1,,,,
UsuarioRepository.java,0,0,0,0,0,2,0,1,1,,,,
UsuarioService.java,0,0,0,0,0,0,1,0,1,,,,
UsuarioServiceImpl.java,0,1,2,1,0,1,0,2,2,,,,
WebConfig.java,0,1,1,1,0,1,0,2,0,,,,
WebSecurityConfig.java,50,1,2,1,0,2,0,1,2,,,,
Total,2608,85,682,88,31,122,18,117,180,,,,
Total All Metrics,2608,,,,886,,,257,180,,,,
