,COHESION,COMPLEXITY,,,,INHERITANCE,,,COUPLING,SIZE,,,
,LCOM(PercentLackOfCohesion),Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT(MaxInheritanceTree),NOC(CountClassDerived),Base Classes(CountClassBase),CBO(CountClassCoupled),LOC,CLOC,Number of Methods ,Number of Classes
Aluno.java,75,1,8,1,0,2,0,1,0,1380,17,237,36
Arquivo.java,50,1,4,1,0,1,0,1,0,,,,
AuthenticationController.java,0,2,2,1,1,1,0,1,4,Total,,,
AuthenticationRequest.java,66,1,7,1,0,1,0,2,0,1670,,,
CorsFilter.java,0,1,5,1,1,1,0,2,0,,,,
Documentacao.java,75,1,10,1,0,1,0,1,3,,,,
Documento.java,66,1,6,1,0,1,0,1,1,,,,
EsquemaFormulario.java,66,1,9,1,1,1,0,1,1,,,,
Inscricao.java,90,1,30,1,1,1,0,1,7,,,,
InvalidJwtAuthenticationException.java,100,1,1,1,0,2,0,1,0,,,,
JwtConfigurer.java,0,1,2,1,0,2,0,1,2,,,,
JwtTokenFilter.java,0,2,5,1,3,2,0,1,3,,,,
JwtTokenProvider.java,61,1,10,3,2,1,0,1,1,,,,
ModalidadeSelecao.java,50,1,4,1,0,1,0,1,0,,,,
OpcaoPergunta.java,75,1,8,1,0,1,0,1,1,,,,
Pergunta.java,85,1,17,1,1,1,0,1,3,,,,
Pessoa.java,86,1,22,1,0,1,2,2,0,,,,
PessoaRepository.java,0,0,0,0,0,2,0,1,1,,,,
PessoaService.java,0,0,0,0,0,0,1,0,1,,,,
PessoaServiceImpl.java,0,1,2,1,0,1,0,2,2,,,,
Resposta.java,80,1,12,1,0,1,0,1,3,,,,
Selecao.java,90,1,28,1,1,1,0,1,4,,,,
Servidor.java,75,1,8,1,0,2,0,1,0,,,,
SpringProjectApplication.java,0,1,2,1,0,1,0,1,0,,,,
SpringProjectApplicationTests.java,0,1,1,1,0,1,0,1,0,,,,
StandardError.java,73,1,9,1,0,1,0,2,0,,,,
UserDetailsCustom.java,0,2,2,1,1,1,0,2,2,,,,
Usuario.java,86,1,26,7,2,1,0,2,0,,,,
UsuarioController.java,0,1,1,1,0,1,0,1,1,,,,
UsuarioRepository.java,0,0,0,0,0,2,0,1,1,,,,
UsuarioService.java,0,0,0,0,0,0,1,0,1,,,,
UsuarioServiceImpl.java,0,1,2,1,0,1,0,2,2,,,,
WebMvcConfigurer.java,0,1,1,1,0,2,0,1,0,,,,
WebSecurityConfig.java,50,1,2,1,0,2,0,1,2,,,,
Total,1399,33,246,38,14,41,4,40,46,,,,
Total All Metrics,1399,,,,331,,,85,46,,,,
