,COHESION,COMPLEXITY,,,,INHERITANCE,,,COUPLING,SIZE,,,
Diagnostico.java,91,1,23,1,0,1,0,1,1,,,,
DiagnosticoController.java,0,0,0,0,0,0,1,0,2,,,,
DiagnosticoControllerImpl.java,33,1,3,1,0,1,0,2,3,,,,
DiagnosticoRepository.java,0,0,0,0,0,2,0,1,1,,,,
DiagnosticoService.java,0,0,0,0,0,0,1,0,2,,,,
DiagnosticoServiceImpl.java,0,1,3,1,0,1,0,2,3,,,,
Dificuldade.java,86,1,6,1,0,1,0,1,0,,,,
EscalaAvaliacao.java,92,1,6,1,0,1,0,1,0,,,,
Etapa.java,100,1,2,1,0,1,0,1,0,,,,
EtapaResponsabilidade.java,100,1,2,1,0,1,0,1,0,,,,
ExceptionHandlingController.java,0,1,7,1,0,2,0,1,8,,,,
ExceptionResponse.java,75,1,8,1,0,1,2,1,0,,,,
FileUploadException.java,100,1,1,1,0,2,0,1,0,,,,
GestaoCompetenciaApplication.java,0,1,2,1,0,1,0,1,0,,,,
GestaoCompetenciaException.java,100,1,1,1,0,2,0,1,0,,,,
IPermissaoNormalizacao.java,0,0,0,0,0,0,0,0,1,,,,
Impacto.java,84,1,5,1,0,1,0,1,0,,,,
InvalidJwtAuthenticationException.java,100,1,1,1,0,2,0,1,0,,,,
ItemAvaliacao.java,83,1,13,1,0,1,0,1,5,,,,
ItemAvaliacaoController.java,0,0,0,0,0,0,1,0,6,,,,
ItemAvaliacaoControllerImpl.java,66,1,8,1,1,1,0,2,14,,,,
ItemAvaliacaoRepository.java,0,0,0,0,0,2,0,2,4,,,,
ItemAvaliacaoSearch.java,70,1,10,1,0,1,0,1,4,,,,
ItemAvaliacaoService.java,0,0,0,0,0,0,1,0,1,,,,
ItemAvaliacaoServiceImpl.java,0,1,7,1,0,1,0,2,2,,,,
ItemAvaliacaoSpecification.java,50,3,6,1,1,1,0,2,1,,,,
JwtConfigurer.java,0,1,2,1,0,2,0,1,2,,,,
JwtTokenFilter.java,0,2,5,1,3,2,0,1,2,,,,
JwtTokenProvider.java,66,1,10,3,2,1,0,1,1,,,,
Mapeamento.java,95,1,48,7,2,1,0,1,1,,,,
MapeamentoControllerImpl.java,50,1,8,1,1,1,0,1,6,,,,
MapeamentoRepository.java,0,0,0,0,0,2,0,2,2,,,,
MapeamentoService.java,0,0,0,0,0,0,1,0,4,,,,
MapeamentoServiceImpl.java,80,1,19,3,1,1,0,2,8,,,,
Monitoramento.java,70,1,11,1,0,1,0,1,0,,,,
NotAllowedException.java,100,1,1,1,0,2,0,1,0,,,,
ResourceAlreadyExistsException.java,100,1,1,1,0,2,0,1,0,,,,
ResourceNotFoundException.java,62,1,4,1,0,2,0,1,0,,,,
Responsabilidade.java,95,1,78,4,2,1,0,1,6,,,,
ResponsabilidadeControllerImpl.java,77,3,56,1,4,1,0,1,22,,,,
ResponsabilidadeFilter.java,66,1,6,1,0,1,0,1,2,,,,
ResponsabilidadeRepository.java,0,0,0,0,0,2,0,2,3,,,,
ResponsabilidadeSearch.java,62,1,8,1,0,1,0,1,3,,,,
ResponsabilidadeService.java,0,0,0,0,0,0,1,0,4,,,,
ResponsabilidadeServiceImpl.java,50,1,8,1,0,1,0,2,6,,,,
ResponsabilidadeSpecification.java,50,5,11,1,2,1,0,2,2,,,,
ServletInitializer.java,0,1,1,1,0,2,0,1,1,,,,
SituacaoComportamento.java,100,1,2,1,0,1,0,1,0,,,,
SituacaoResponsabilidade.java,100,1,2,1,0,1,0,1,0,,,,
SwaggerConfig.java,0,1,3,1,0,1,0,1,1,,,,
TipoCompetencia.java,100,1,2,1,0,1,0,1,0,,,,
Unidade.java,87,1,19,1,0,1,0,1,1,,,,
UnidadeControllerImpl.java,66,2,13,1,3,1,0,1,5,,,,
UnidadeMapeada.java,75,1,11,1,1,1,0,1,2,,,,
UnidadeMapeadaRepository.java,0,0,0,0,0,2,0,1,3,,,,
UnidadeMapeadaService.java,0,1,1,1,0,1,0,1,4,,,,
UnidadeRepository.java,0,0,0,0,0,2,0,1,2,,,,
UnidadeService.java,0,0,0,0,0,0,1,0,2,,,,
UnidadeServiceImpl.java,0,1,5,1,0,1,0,2,3,,,,
UserDetailsCustom.java,0,2,2,1,1,1,0,2,2,,,,
Usuario.java,89,1,27,7,2,1,0,2,1,,,,
UsuarioController.java,0,0,0,0,0,0,1,0,1,,,,
UsuarioControllerImpl.java,0,1,1,1,0,1,0,2,1,,,,
UsuarioRepository.java,0,0,0,0,0,2,0,1,2,,,,
UsuarioService.java,0,0,0,0,0,0,1,0,2,,,,
UsuarioServiceImpl.java,0,1,8,1,0,1,0,2,3,,,,
WebMvcConfigurer.java,0,1,1,1,0,2,0,1,0,,,,
WebSecurityConfig.java,50,1,2,1,0,2,0,1,2,,,,
Total,3788,88,734,94,39,107,15,108,290,,,,
Total All Metrics,3788,,,,955,,,230,290,,,,
