,COHESION,COMPLEXITY,,,,INHERITANCE,,,COUPLING,SIZE,,,
,LCOM(PercentLackOfCohesion),Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT(MaxInheritanceTree),NOC(CountClassDerived),Base Classes(CountClassBase),CBO(CountClassCoupled),LOC,CLOC,Number of Methods ,Number of Classes
AuthControllerImpl.java,77,1,9,1,1,1,0,1,8,4408,444,665,104
AuthenticationRequest.java,66,1,7,1,0,1,0,2,0,,,,
Avaliacao.java,87,1,22,1,2,1,0,1,6,Total,,,
AvaliacaoComportamentalService.java,0,1,6,1,0,1,0,1,4,5621,,,
AvaliacaoController.java,0,0,0,0,0,0,0,0,6,,,,
AvaliacaoControllerImpl.java,72,2,28,5,2,1,0,1,11,,,,
AvaliacaoRepository.java,0,0,0,0,0,2,0,1,6,,,,
AvaliacaoService.java,63,1,17,1,2,1,0,1,9,,,,
AvalicaoComportamentalImpl.java,0,0,0,0,0,1,0,1,1,,,,
AvalicaoComportamentalRepository.java,0,0,0,0,0,2,0,1,3,,,,
CategoriaComportamento.java,100,1,2,1,0,1,0,1,0,,,,
Comissao.java,50,1,2,1,0,1,0,2,1,,,,
ComissaoRepository.java,0,0,0,0,0,2,0,1,1,,,,
ComissaoService.java,0,0,0,0,0,0,1,0,1,,,,
ComissaoServiceImpl.java,0,1,1,1,0,1,0,2,2,,,,
Competencia.java,85,1,21,3,1,1,0,1,2,,,,
CompetenciaControllerImpl.java,0,1,3,1,0,1,0,1,4,,,,
CompetenciaRepository.java,0,0,0,0,0,2,0,1,2,,,,
CompetenciaService.java,0,0,0,0,0,0,1,0,3,,,,
CompetenciaServiceImpl.java,0,1,4,1,0,1,0,2,4,,,,
Comportamento.java,88,1,26,1,0,1,0,1,5,,,,
ComportamentoController.java,0,0,0,0,0,0,1,0,6,,,,
ComportamentoControllerImpl.java,43,3,58,1,2,1,0,2,17,,,,
ComportamentoRepository.java,0,0,0,0,0,2,0,2,3,,,,
ComportamentoSearch.java,75,1,12,1,0,1,0,1,4,,,,
ComportamentoService.java,0,0,0,0,0,0,1,0,4,,,,
ComportamentoServiceImpl.java,0,1,9,1,0,1,0,2,5,,,,
ComportamentoSpecification.java,62,6,12,1,2,1,0,2,2,,,,
CorsFilter.java,0,1,5,1,1,1,0,2,0,,,,
CustomResponses.java,0,0,0,0,0,1,0,1,0,,,,
