,COHESION,COMPLEXITY,,,,INHERITANCE,,,COUPLING,SIZE,,,
,LCOM(PercentLackOfCohesion),Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT(MaxInheritanceTree),NOC(CountClassDerived),Base Classes(CountClassBase),CBO(CountClassCoupled),LOC,CLOC,Number of Methods ,Number of Classes
Aluno.java,66,1,6,1,0,2,0,2,0,1756,16,274,55
Arquivo.java,50,1,4,1,0,1,0,2,0,,,,
AssistenciaException.java,25,1,4,1,0,2,0,1,0,Total,,,
AuthenticationController.java,0,3,3,1,2,1,0,1,5,2101,,,
AuthenticationRequest.java,71,1,7,1,0,1,0,2,0,,,,
CorsFilter.java,0,3,3,1,1,1,0,2,0,,,,
Documentacao.java,75,1,10,1,0,1,0,2,3,,,,
Documento.java,66,1,6,1,0,1,0,2,1,,,,
DocumentoRepository.java,0,0,0,0,0,2,0,1,0,,,,
DocumentoService.java,0,0,0,0,0,0,1,0,0,,,,
DocumentoServiceImpl.java,0,1,2,1,0,1,0,2,1,,,,
EsquemaFormulario.java,66,1,9,1,1,1,0,2,1,,,,
ExcepetionController.java,0,2,2,1,1,2,0,1,1,,,,
FormularioController.java,0,1,4,1,0,1,0,1,2,,,,
FormularioRepository.java,0,0,0,0,0,2,0,1,0,,,,
FormularioService.java,0,0,0,0,0,0,1,0,1,,,,
FormularioServiceImpl.java,0,1,4,1,0,1,0,2,2,,,,
Inscricao.java,90,1,30,1,1,1,0,2,7,,,,
InscricaoRepository.java,0,0,0,0,0,2,0,1,0,,,,
InscricaoService.java,0,0,0,0,0,0,1,0,0,,,,
InscricaoServiceImpl.java,0,0,0,0,0,1,0,2,0,,,,
InvalidJwtAuthenticationException.java,100,1,1,1,0,2,0,1,0,,,,
JwtConfigurer.java,0,1,2,1,0,2,0,1,2,,,,
JwtTokenFilter.java,0,2,5,1,3,2,0,1,3,,,,
JwtTokenProvider.java,64,1,9,1,1,1,0,1,1,,,,
ModalidadeController.java,0,1,1,1,0,1,0,1,1,,,,
ModalidadeRepository.java,0,0,0,0,0,2,0,1,0,,,,
ModalidadeSelecao.java,50,1,4,1,0,1,0,2,0,,,,
ModalidadeService.java,0,0,0,0,0,0,1,0,0,,,,
ModalidadeServiceImpl.java,0,1,1,1,0,1,0,2,1,,,,
OpcaoPergunta.java,75,1,8,1,0,1,0,2,1,,,,
Papel.java,86,1,5,1,0,1,0,2,0,,,,
Pergunta.java,85,1,17,1,1,1,0,2,3,,,,
Pessoa.java,87,1,28,3,1,1,2,3,1,,,,
PessoaRepository.java,0,0,0,0,0,2,0,1,1,,,,
PessoaService.java,0,0,0,0,0,0,1,0,1,,,,
PessoaServiceImpl.java,0,1,2,1,0,1,0,2,2,,,,
Resposta.java,80,1,12,1,0,1,0,2,3,,,,
Selecao.java,89,1,35,1,1,1,0,2,5,,,,
SelecaoController.java,66,1,11,1,0,1,0,1,6,,,,
SelecaoRepository.java,0,0,0,0,0,2,0,1,0,,,,
SelecaoRepositoryImpl.java,0,1,1,1,0,1,0,1,1,,,,
SelecaoService.java,0,0,0,0,0,0,1,0,3,,,,
SelecaoServiceImpl.java,77,1,11,1,1,1,0,2,9,,,,
Servidor.java,66,1,6,1,0,2,0,2,0,,,,
ServidorRepository.java,0,0,0,0,0,2,0,1,0,,,,
ServidorService.java,0,0,0,0,0,0,1,0,0,,,,
ServidorServiceImpl.java,0,1,1,1,0,1,0,2,1,,,,
SpringProjectApplication.java,0,1,2,1,0,1,0,1,0,,,,
StandardError.java,73,1,9,1,0,1,0,2,0,,,,
UserDetailsCustom.java,0,2,2,1,1,1,0,2,2,,,,
WebMvcConfigurer.java,0,1,1,1,0,2,0,1,0,,,,
WebSecurityConfig.java,50,1,2,1,0,2,0,1,2,,,,
Total,1557,45,270,40,15,62,9,72,73,,,,
Total All Metrics,1557,,,,370,,,143,73,,,,
