,COHESION,COMPLEXITY,,,,INHERITANCE,,,COUPLING,SIZE,,,
,LCOM(PercentLackOfCohesion),Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT(MaxInheritanceTree),NOC(CountClassDerived),Base Classes(CountClassBase),CBO(CountClassCoupled),LOC,CLOC,Number of Methods ,Number of Classes
Arquivo.java,75,1,14,3,1,1,0,1,0,1486,39,203,46
Atividade.java,85,1,18,3,1,1,0,1,3,,,,
AtividadeComplementarApplication.java,0,1,2,1,0,1,0,1,0,Total,,,
AtividadeComplementarApplicationTests.java,0,1,1,1,0,1,0,1,0,1774,,,
AtividadeRepository.java,0,0,0,0,0,2,0,1,1,,,,
AuthenticationController.java,0,2,2,1,1,1,0,1,4,,,,
AuthenticationRequest.java,66,1,7,1,0,1,0,2,0,,,,
CorsFilter.java,0,1,5,1,1,1,0,2,0,,,,
Curso.java,50,1,8,3,1,1,0,1,0,,,,
DataIntegrityException.java,0,1,1,1,0,2,0,1,0,,,,
Estudante.java,88,1,22,3,1,1,0,1,2,,,,
EstudanteController.java,0,1,1,1,0,1,0,1,2,,,,
EstudanteRepository.java,0,0,0,0,0,2,0,1,2,,,,
EstudanteService.java,0,0,0,0,0,0,1,0,1,,,,
EstudanteServiceImpl.java,0,3,3,1,2,1,0,2,5,,,,
InvalidJwtAuthenticationException.java,100,1,1,1,0,2,0,1,0,,,,
JwtConfigurer.java,0,1,2,1,0,2,0,1,2,,,,
JwtTokenFilter.java,0,2,5,1,3,2,0,1,3,,,,
JwtTokenProvider.java,61,1,10,3,2,1,0,1,1,,,,
Papel.java,93,1,5,1,0,1,0,2,0,,,,
ResourceExceptionHandler.java,0,1,1,1,0,1,0,1,2,,,,
Servidor.java,66,1,10,3,1,1,0,1,1,,,,
ServidorController.java,0,1,1,1,0,1,0,1,2,,,,
ServidorRepository.java,0,0,0,0,0,2,0,1,1,,,,
ServidorService.java,0,0,0,0,0,0,1,0,1,,,,
ServidorServiceImpl.java,0,3,3,1,2,1,0,2,5,,,,
Solicitacao.java,80,1,14,3,1,1,0,1,2,,,,
SolicitacaoColetiva.java,90,1,26,3,1,1,0,1,2,,,,
SolicitacaoColetivaController.java,0,1,2,1,0,1,0,1,2,,,,
SolicitacaoColetivaImpl.java,0,2,4,1,2,1,0,2,3,,,,
SolicitacaoColetivaRepository.java,0,0,0,0,0,2,0,1,0,,,,
SolicitacaoColetivaService.java,0,0,0,0,0,0,1,0,1,,,,
SolicitacaoController.java,0,1,1,1,0,1,0,1,2,,,,
SolicitacaoRepository.java,0,0,0,0,0,2,0,1,0,,,,
SolicitacaoService.java,0,0,0,0,0,0,1,0,1,,,,
SolicitacaoServiceImpl.java,0,1,1,1,0,1,0,2,6,,,,
StandardError.java,73,1,9,1,0,1,0,2,0,,,,
Tipo.java,93,1,4,1,0,1,0,1,0,,,,
UserDetailsCustom.java,0,2,2,1,1,1,0,2,2,,,,
Usuario.java,87,1,28,7,2,1,0,3,0,,,,
UsuarioController.java,50,1,5,1,0,1,0,1,2,,,,
UsuarioRepository.java,0,0,0,0,0,2,0,1,1,,,,
UsuarioService.java,0,0,0,0,0,0,1,0,1,,,,
UsuarioServiceImpl.java,33,1,10,1,1,1,0,2,3,,,,
WebMvcConfigurer.java,0,1,1,1,0,2,0,1,0,,,,
WebSecurityConfig.java,57,1,2,1,0,2,0,1,3,,,,
Total,1247,43,231,57,24,53,5,53,69,,,,
Total All Metrics,1247,,,,355,,,111,69,,,,
