,COHESION,COMPLEXITY,,,,INHERITANCE,,,COUPLING,SIZE,,,
,LCOM(PercentLackOfCohesion),Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT(MaxInheritanceTree),NOC(CountClassDerived),Base Classes(CountClassBase),CBO(CountClassCoupled),LOC,CLOC,Number of Methods ,Number of Classes
Arquivo.java,80,1,14,3,1,1,0,2,0,2152,74,300,50
Atividade.java,86,1,22,3,1,1,0,2,4,,,,
AtividadeComplementarApplication.java,0,1,2,1,0,1,0,1,0,Total,,,
AtividadeRepository.java,0,0,0,0,0,2,0,1,1,2576,,,
AuthenticationController.java,0,2,2,1,1,1,0,1,4,,,,
AuthenticationRequest.java,66,1,7,1,0,1,0,2,0,,,,
CorsFilter.java,0,3,3,1,1,1,0,2,0,,,,
Curso.java,85,1,14,3,1,1,0,2,1,,,,
CursoRepository.java,0,0,0,0,0,2,0,1,2,,,,
DataIntegrityException.java,0,1,1,1,0,2,0,1,0,,,,
Estudante.java,91,1,26,3,1,1,0,2,2,,,,
EstudanteController.java,0,1,2,1,0,1,0,1,2,,,,
EstudanteRepository.java,0,0,0,0,0,2,0,1,2,,,,
EstudanteService.java,0,0,0,0,0,0,1,0,1,,,,
EstudanteServiceImpl.java,33,2,4,1,2,1,0,2,5,,,,
InvalidJwtAuthenticationException.java,100,1,1,1,0,2,0,1,0,,,,
JwtConfigurer.java,0,1,2,1,0,2,0,1,2,,,,
JwtTokenFilter.java,0,2,5,1,3,2,0,1,3,,,,
JwtTokenProvider.java,64,1,9,1,1,1,0,1,1,,,,
NotFoundException.java,0,1,1,1,0,2,0,1,0,,,,
Papel.java,93,1,5,1,0,1,0,2,0,,,,
ResourceExceptionHandler.java,0,1,2,1,0,1,0,1,3,,,,
Servidor.java,76,1,14,3,1,1,0,2,1,,,,
ServidorController.java,0,1,4,1,0,1,0,1,2,,,,
ServidorRepository.java,0,0,0,0,0,2,0,1,2,,,,
ServidorService.java,0,0,0,0,0,0,1,0,1,,,,
ServidorServiceImpl.java,55,1,8,1,2,1,0,2,5,,,,
ServletInitializer.java,0,1,1,1,0,2,0,1,1,,,,
Solicitacao.java,82,1,18,3,1,1,0,2,3,,,,
SolicitacaoColetiva.java,92,1,30,3,1,1,0,2,4,,,,
SolicitacaoColetivaController.java,0,1,9,1,0,1,0,1,3,,,,
SolicitacaoColetivaRepository.java,0,0,0,0,0,2,0,1,0,,,,
SolicitacaoColetivaService.java,0,0,0,0,0,0,1,0,2,,,,
SolicitacaoColetivaServiceImpl.java,46,4,38,4,4,1,0,2,14,,,,
SolicitacaoController.java,0,1,7,1,0,1,0,1,3,,,,
SolicitacaoRepository.java,0,0,0,0,0,2,0,1,1,,,,
SolicitacaoService.java,0,0,0,0,0,0,1,0,2,,,,
SolicitacaoServiceImpl.java,46,2,22,3,3,1,0,2,13,,,,
StandardError.java,73,1,9,1,0,1,0,2,0,,,,
StatusAtividade.java,91,1,4,1,0,1,0,1,0,,,,
StatusSolicitacao.java,96,1,4,1,0,1,0,1,0,,,,
Tipo.java,93,1,4,1,0,1,0,1,0,,,,
UserDetailsCustom.java,0,2,2,1,1,1,0,2,2,,,,
Usuario.java,86,1,29,7,2,1,0,3,0,,,,
UsuarioController.java,50,1,6,1,0,1,0,1,2,,,,
UsuarioRepository.java,0,0,0,0,0,2,0,1,1,,,,
UsuarioService.java,0,0,0,0,0,0,1,0,1,,,,
UsuarioServiceImpl.java,44,2,18,4,3,1,0,2,4,,,,
WebMvcConfigurer.java,0,1,1,1,0,2,0,1,0,,,,
WebSecurityConfig.java,89,1,2,1,0,2,0,1,2,,,,
Total,1717,49,352,66,30,60,5,64,102,,,,
Total All Metrics,1717,,,,497,,,129,102,,,,
