,COHESION,COMPLEXITY,,,,INHERITANCE,,,COUPLING,SIZE,,,
,LCOM(PercentLackOfCohesion),Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT(MaxInheritanceTree),NOC(CountClassDerived),Base Classes(CountClassBase),CBO(CountClassCoupled),LOC,CLOC,Number of Methods ,Number of Classes
AuthController.java,0,2,2,1,1,1,0,1,4,4802,25,787,115
AuthenticationRequest.java,50,1,7,1,0,1,0,2,0,,,,
AvaliacaoController.java,0,1,17,1,1,1,0,1,3,Total,,,
AvaliacaoRepository.java,0,0,0,0,0,2,0,1,0,5729,,,
AvaliacaoRisco.java,83,1,17,1,0,1,0,1,5,,,,
AvaliacaoRiscoService.java,0,0,0,0,0,0,0,0,1,,,,
AvaliacaoService.java,0,0,0,0,0,0,1,0,1,,,,
AvaliacaoServiceImpl.java,0,1,9,1,1,1,0,2,3,,,,
CategoriaRisco.java,72,1,10,1,0,1,0,1,1,,,,
CategoriaRiscoController.java,50,1,13,1,1,1,0,1,4,,,,
CategoriaRiscoRepository.java,0,0,0,0,0,2,0,1,0,,,,
CategoriaRiscoService.java,0,0,0,0,0,0,1,0,1,,,,
CategoriaRiscoServiceImpl.java,0,1,6,1,0,1,0,2,2,,,,
CorsFilter.java,0,1,5,1,1,1,0,2,0,,,,
ExceptionHandlingController.java,0,1,6,1,0,2,0,1,7,,,,
ExceptionResponse.java,75,1,8,1,0,1,0,1,0,,,,
FatorAvaliacaoControle.java,76,1,12,1,0,1,0,1,1,,,,
FatorAvaliacaoControleController.java,50,2,15,1,1,1,0,1,4,,,,
FatorAvaliacaoControleRepository.java,0,0,0,0,0,2,0,1,0,,,,
FatorAvaliacaoControleService.java,0,0,0,0,0,0,1,0,1,,,,
FatorAvaliacaoControleServiceImpl.java,0,1,6,1,0,1,0,2,2,,,,
FatorAvaliacaoRepository.java,0,0,0,0,0,2,0,1,0,,,,
FatorAvaliacaoService.java,0,0,0,0,0,0,0,0,0,,,,
FileUploadException.java,0,1,1,1,0,2,0,1,0,,,,
GestaoCompetenciaApplication.java,0,1,1,1,0,1,0,1,0,,,,
GestaoRiscosException.java,25,1,4,1,0,2,0,1,0,,,,
Impacto.java,77,1,16,3,1,1,0,1,1,,,,
ImpactoController.java,50,1,14,1,1,1,0,1,4,,,,
ImpactoRepository.java,0,0,0,0,0,2,0,1,0,,,,
ImpactoService.java,0,0,0,0,0,0,1,0,1,,,,
ImpactoServiceImpl.java,0,1,6,1,0,1,0,2,2,,,,
Indicador.java,83,1,12,1,0,1,0,1,3,,,,
IndicadorController.java,0,1,1,1,0,1,0,1,1,,,,
IndicadorRepository.java,0,0,0,0,0,2,0,1,0,,,,
IndicadorService.java,0,0,0,0,0,0,1,0,0,,,,
IndicadorServiceImpl.java,0,1,1,1,0,1,0,2,1,,,,
InvalidJwtAuthenticationException.java,0,1,1,1,0,2,0,1,0,,,,
JwtConfigurer.java,0,1,2,1,0,2,0,1,2,,,,
JwtTokenFilter.java,0,2,4,1,2,2,0,1,1,,,,
JwtTokenProvider.java,66,1,9,3,2,1,0,1,2,,,,
Messages.java,0,0,0,0,0,1,0,1,0,,,,
NivelRisco.java,82,1,20,3,1,1,0,1,1,,,,
NivelRiscoController.java,50,1,11,1,1,1,0,1,4,,,,
NivelRiscoRepository.java,0,0,0,0,0,2,0,1,0,,,,
NivelRiscoService.java,0,0,0,0,0,0,1,0,1,,,,
NivelRiscoServiceImpl.java,0,1,6,1,0,1,0,2,2,,,,
NotAllowedException.java,0,1,1,1,0,2,0,1,0,,,,
Ocorrencia.java,87,1,16,1,0,1,0,1,3,,,,
OcorrenciaController.java,50,1,16,1,1,1,0,1,4,,,,
OcorrenciaRepository.java,0,0,0,0,0,2,0,1,0,,,,
OcorrenciaService.java,0,0,0,0,0,0,1,0,1,,,,
OcorrenciaServiceImpl.java,0,1,7,1,0,1,0,2,2,,,,
Periodicidade.java,94,1,4,1,0,1,0,1,0,,,,
PlanoContigenciaRepository.java,0,0,0,0,0,2,0,1,0,,,,
PlanoContigenciaService.java,0,0,0,0,0,0,1,0,1,,,,
PlanoContigenciaServiceImp.java,0,1,6,1,0,1,0,2,2,,,,
PlanoContingencia.java,80,1,10,1,0,1,0,1,2,,,,
PlanoDeContingenciaController.java,50,1,10,1,1,1,0,1,4,,,,
PlanoDeTratamentoController.java,50,3,19,1,1,1,0,1,4,,,,
PlanoDeTratamentoRepository.java,0,0,0,0,0,2,0,1,0,,,,
PlanoTratamentoRisco.java,90,1,20,1,0,1,0,1,2,,,,
PlanoTratamentoRiscoImpl.java,0,1,7,1,1,1,0,2,2,,,,
PlanoTratamentoRiscoService.java,0,0,0,0,0,0,1,0,1,,,,
Politica.java,91,1,77,3,2,1,0,1,7,,,,
PoliticaController.java,0,2,13,1,1,1,0,1,3,,,,
PoliticaRepository.java,0,0,0,0,0,2,0,1,1,,,,
PoliticaService.java,0,0,0,0,0,0,1,0,1,,,,
PoliticaServiceImpl.java,0,1,6,1,0,1,0,2,2,,,,
Probabilidade.java,77,1,16,3,1,1,0,1,1,,,,
ProbabilidadeController.java,50,1,14,1,1,1,0,1,4,,,,
ProbabilidadeRepository.java,0,0,0,0,0,2,0,1,0,,,,
ProbabilidadeService.java,0,0,0,0,0,0,1,0,1,,,,
ProbabilidadeServiceImpl.java,0,1,6,1,0,1,0,2,2,,,,
Processo.java,95,1,60,1,1,1,0,1,4,,,,
ProcessoController.java,0,2,12,1,1,1,0,1,3,,,,
ProcessoRepository.java,0,0,0,0,0,2,0,1,0,,,,
ProcessoService.java,0,0,0,0,0,0,1,0,1,,,,
ProcessoServiceImpl.java,0,1,5,1,0,1,0,2,2,,,,
ResourceAlreadyExistsException.java,0,1,1,1,0,2,0,1,0,,,,
ResourceNotFoundException.java,50,1,4,1,0,2,0,1,0,,,,
Risco.java,91,1,62,1,1,1,0,1,11,,,,
RiscoController.java,0,2,20,1,1,1,0,1,5,,,,
RiscoDTO.java,90,1,31,1,0,1,0,1,8,,,,
RiscoRepository.java,0,0,0,0,0,2,0,1,0,,,,
RiscoRespostaDTO.java,91,1,34,1,0,1,0,1,8,,,,
RiscoService.java,0,0,0,0,0,0,1,0,1,,,,
RiscoServiceImpl.java,0,1,6,1,0,1,0,2,2,,,,
ServletInitializer.java,0,1,1,1,0,2,0,1,1,,,,
TipoProcesso.java,66,1,6,1,0,1,0,1,1,,,,
TipoProcessoController.java,0,1,1,1,0,1,0,1,1,,,,
TipoProcessoRepository.java,0,0,0,0,0,2,0,1,0,,,,
TipoProcessoService.java,0,0,0,0,0,0,1,0,0,,,,
TipoProcessoServiceImpl.java,0,1,1,1,0,1,0,2,1,,,,
TipoRisco.java,83,1,4,1,0,1,0,1,0,,,,
TipoRisco.java,100,1,2,1,0,1,0,1,0,,,,
TratamentoRisco.java,83,1,12,1,0,1,0,1,2,,,,
TratamentoRiscoController.java,50,2,14,1,1,1,0,1,4,,,,
TratamentoRiscoRepository.java,0,0,0,0,0,2,0,1,0,,,,
TratamentoRiscoService.java,0,0,0,0,0,0,1,0,1,,,,
TratamentoRiscoServiceImpl.java,0,1,5,1,0,1,0,2,2,,,,
Unidade.java,85,1,14,1,0,1,0,1,1,,,,
UnidadeController.java,0,1,14,1,1,1,0,1,3,,,,
UnidadeRepository.java,0,0,0,0,0,2,0,1,0,,,,
UnidadeService.java,0,0,0,0,0,0,1,0,1,,,,
UnidadeServiceImp.java,37,1,11,1,1,1,0,2,2,,,,
UriLocationBuilder.java,0,1,1,1,0,1,0,1,0,,,,
UserDetailsCustom.java,0,2,2,1,1,1,0,2,2,,,,
Usuario.java,89,1,21,1,0,1,0,2,1,,,,
UsuarioController.java,0,1,2,1,0,1,0,1,1,,,,
UsuarioRepository.java,0,0,0,0,0,2,0,1,1,,,,
UsuarioService.java,0,0,0,0,0,0,1,0,1,,,,
UsuarioServiceImpl.java,0,1,2,1,0,1,0,2,2,,,,
WebConfig.java,0,1,1,1,0,1,0,2,0,,,,
WebSecurityConfig.java,50,1,2,1,0,2,0,1,2,,,,
Total,2668,86,841,86,31,124,17,117,191,,,,
Total All Metrics,2668,,,,1044,,,258,191,,,,
