,COHESION,COMPLEXITY,,,,INHERITANCE,,,COUPLING,SIZE,,,
,LCOM(PercentLackOfCohesion),Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT(MaxInheritanceTree),NOC(CountClassDerived),Base Classes(CountClassBase),CBO(CountClassCoupled),LOC,CLOC,Number of Methods ,Number of Classes
PlanoTratamentoRepository.java,0,0,0,0,0,2,0,1,3,,,,
PlanoTratamentoService.java,0,0,0,0,0,0,1,0,5,,,,
PlanoTratamentoServiceImpl.java,0,1,12,1,1,1,0,2,8,,,,
PlanoTratamentoServiceTest.java,55,1,22,1,1,3,0,1,12,,,,
Procedimento.java,88,1,28,7,2,1,0,2,6,,,,
ProcedimentoRepository.java,0,0,0,0,0,2,0,1,5,,,,
ProcedimentoService.java,0,0,0,0,0,0,1,0,4,,,,
ProcedimentoServiceImpl.java,72,4,21,1,2,1,0,2,24,,,,
ProcedimentoServiceTest.java,93,1,9,1,0,3,0,1,10,,,,
ProfessorController.java,72,2,12,1,2,1,0,1,11,,,,
ProntuarioAdapter.java,0,1,1,1,0,2,0,1,0,,,,
ProntuarioApplication.java,0,1,1,1,0,1,0,1,0,,,,
ProntuarioApplicationTests.java,0,1,1,1,0,1,0,1,0,,,,
ProntuarioController.java,0,1,2,1,0,1,0,1,0,,,,
ProntuarioException.java,50,1,2,1,0,2,0,1,0,,,,
RedirectConstants.java,0,0,0,0,0,1,0,1,0,,,,
Resposta.java,80,1,19,7,2,1,0,1,2,,,,
SecurityConfig.java,50,1,2,1,0,2,0,1,0,,,,
Servidor.java,0,0,0,0,0,2,0,1,0,,,,
ServidorRepository.java,0,0,0,0,0,2,0,1,0,,,,
ServidorService.java,0,0,0,0,0,0,1,0,2,,,,
ServidorServiceImpl.java,55,2,14,1,1,1,0,2,8,,,,
ServidorServiceTest.java,50,1,29,1,1,3,0,1,6,,,,
ServletInitializer.java,0,1,1,1,0,2,0,1,1,,,,
TipoPatologia.java,75,1,17,7,2,1,0,1,0,,,,
TipoPatologiaController.java,40,1,9,1,3,1,0,1,7,,,,
TipoPatologiaRepository.java,0,0,0,0,0,2,0,1,1,,,,
TipoPatologiaService.java,0,0,0,0,0,0,1,0,2,,,,
TipoPatologiaServiceImpl.java,0,1,10,1,1,1,0,2,4,,,,
TipoPatologiaServiceTest.java,54,2,22,1,1,3,0,1,4,,,,
TipoProcedimento.java,75,1,17,7,2,1,0,1,0,,,,
TipoProcedimentoController.java,40,1,9,1,3,1,0,1,7,,,,
TipoProcedimentoRepository.java,0,0,0,0,0,2,0,1,1,,,,
TipoProcedimentoService.java,0,0,0,0,0,0,1,0,2,,,,
TipoProcedimentoServiceImpl.java,0,1,10,1,1,1,0,2,4,,,,
TipoProcedimentoServiceTest.java,50,2,21,1,1,3,0,1,4,,,,
Token.java,50,2,13,7,2,1,0,1,1,,,,
TokenRepository.java,0,0,0,0,0,2,0,1,2,,,,
TokenService.java,0,0,0,0,0,0,1,0,2,,,,
TokenServiceImpl.java,0,1,5,1,0,1,0,2,3,,,,
TokenServiceTest.java,53,1,5,1,0,3,0,1,4,,,,
Tratamento.java,80,1,19,7,2,1,0,1,3,,,,
Turma.java,88,1,27,7,2,1,0,1,1,,,,
TurmaController.java,75,1,21,1,1,1,0,1,13,,,,
TurmaRepository.java,0,0,0,0,0,2,0,1,4,,,,
TurmaService.java,0,0,0,0,0,0,1,0,4,,,,
TurmaServiceImpl.java,75,2,28,1,2,1,0,2,14,,,,
TurmaServiceTest.java,65,1,35,1,2,3,0,1,12,,,,
UserDetailsService.java,0,2,2,1,1,1,0,2,3,,,,
UserDetailsServiceTest.java,50,1,3,1,1,3,0,1,2,,,,
Usuario.java,85,1,34,7,2,1,2,2,1,,,,
UsuarioController.java,28,1,8,1,1,1,0,1,8,,,,
UsuarioRepository.java,0,0,0,0,0,2,0,1,2,,,,
UsuarioService.java,0,0,0,0,0,0,1,0,3,,,,
UsuarioServiceImpl.java,50,1,11,1,3,1,0,2,7,,,,
UsuarioServiceTest.java,50,1,10,1,1,3,0,1,6,,,,
Total,4846,114,1377,252,116,196,39,155,611,,,,
Total All Metrics,4846,,,,1859,,,390,611,,,,
