id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,time_between_first_and_last_comment,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,inline_comments,effective_comments,average_time_between_comments,tests_run,tests_fail,tests_error,skipped_tests,self_merged_commits
4806,merged,0,1,0,1,0,1,0,1,-96472,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,24251,1,1,1,0,0,0,0,0,0,0,49,0,0,0,1
4805,merged,0,1,0,1,0,1,0,1,-7121,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,11578,1,0,0,0,0,0,0,0,0,0,49,0,0,0,1
4804,merged,0,3,0,3,0,1,0,1,-26702,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,14.61,1,3,3,3,3,0,0,0,0,0,49,0,0,0,1
4803,merged,0,4,0,4,0,1,0,1,-27368,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,844298,1,5,4,0,0,0,0,0,0,0,49,33,0,0,1
4802,merged,0,14,1,13,0,1,0,1,-202771,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,13045258,2,434,237,0,0,0,0,0,0,0,49,0,49,0,0
4799,merged,0,8,0,8,0,3,0,3,8455393636,5.992310449541053e+307,0,5.992310449541053e+307,6,6,0,0,8543088943,2,347,433,0,0,0,0,0,0,0,147,0,0,0,0
4723,merged,0,1,0,1,0,1,0,1,-77218,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,1494584,2,1,1,0,0,0,0,0,0,0,49,0,0,0,0
4710,merged,1,7,0,6,0,2,0,2,76829036,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,507922428,2,0,0,0,0,0,0,0,0,0,98,0,0,0,0
4701,merged,0,13,0,13,0,3,0,3,88059589,70803531,2,70727436,6,6,0,0,88352135,2,157,142,0,0,3,0,3,3,38.0475,147,0,0,0,0
4691,merged,1,10,0,9,0,1,0,1,-2037208,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,73009.34,2,238,209,5,5,0,0,0,0,0,49,0,0,0,0
4677,merged,21,92,40,31,0,2,0,2,73883651,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,74301783,2,962,2489,294,399,0,0,0,0,0,98,0,0,0,0
4513,merged,0,23,0,23,0,1,0,1,-1660457,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,518336951,2,332,427,88,50,0,0,0,0,0,60,0,0,0,0
4422,merged,0,6,0,6,0,1,0,1,-495279,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,264198554,2,316,275,0,0,0,0,0,0,0,54,0,0,0,0
4420,merged,2,34,0,32,0,2,0,2,783813516,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,3831284,2,520,562,18,18,0,0,0,0,0,108,0,0,0,0
4383,merged,4,23,0,19,0,1,0,1,-199651,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,147937153,2,923,568,26,0,0,0,0,0,0,0,0,0,0,0
4330,merged,3,10,0,7,0,1,1,0,-63639,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,426650823,2,422,128,0,0,0,0,0,0,0,53,0,0,0,0
4285,merged,0,7,0,7,1763567,2,1,1,1146607,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,604984195,2,7,5,0,0,0,0,0,0,0,106,0,0,0,0
4224,merged,0,4,0,4,0,1,1,0,-194852,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,427887407,2,82,16,0,0,0,0,0,0,0,53,0,0,0,0
4219,merged,0,5,0,5,85746,4,3,1,4259743,5.992310449541053e+307,0,5.992310449541053e+307,8,6,1,0,79629991,2,119,15,0,0,0,0,0,0,0,159,0,0,0,0
4213,merged,0,10,0,10,0,4,4,0,41914,5.992310449541053e+307,0,5.992310449541053e+307,8,8,0,0,2027003,2,116,50,0,0,0,0,0,0,0,212,0,0,0,0
4167,merged,5,7,0,2,517198,3,2,1,904304,5.992310449541053e+307,0,5.992310449541053e+307,6,6,0,0,1172261,2,0,0,0,0,0,0,0,0,0,159,0,0,0,1
4100,merged,7,9,2,0,0,1,1,0,-21911,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,89471,2,0,0,0,0,0,0,0,0,0,53,0,0,0,0
4099,merged,0,11,0,11,0,1,1,0,-179634,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,7387,2,363,317,0,0,0,0,0,0,0,53,0,0,0,0
4098,merged,0,1,0,1,0,1,1,0,-125743,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,35323,2,7,0,0,0,0,0,0,0,0,53,0,0,0,0
4097,merged,2,8,0,6,0,1,1,0,-159145.99,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,32.15,3,97,73,2,2,0,0,0,0,0,53,0,0,0,0
4091,merged,0,3,1,2,0,1,0,1,-82163,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,73951847,2,0,0,0,0,0,0,0,0,0,38,10,0,0,0
4090,merged,0,2,0,2,0,1,0,1,-32479,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,77486.89,2,117,0,117,0,0,0,0,0,0,53,0,0,0,0
4089,merged,0,3,0,3,0,1,0,1,-53849,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,14698,2,114,10,114,10,0,0,0,0,0,45,0,0,0,0
4088,merged,2,10,0,8,0,1,0,1,-215285,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,215478,2,129,56,0,0,0,0,0,0,0,38,10,0,0,0
4086,merged,0,1,0,1,0,1,0,1,-230759,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,3957459,2,15,15,15,15,0,0,0,0,0,38,0,0,0,0
4084,merged,0,5,0,5,0,2,0,2,79.47,5.992310449541053e+307,0,5.992310449541053e+307,4,0,2,0,138991,2,41,43,0,0,0,0,0,0,0,76,14,0,0,0
4081,merged,1,7,0,6,0,1,0,1,-56313,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,121619,2,100,40,0,0,0,0,0,0,0,38,4,0,0,0
4078,merged,0,8,0,8,0,1,0,1,-58181,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,1029775,2,156,165,0,0,0,0,0,0,0,38,4,0,0,0
4074,merged,0,6,0,6,0,1,0,1,-46682,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,950859,3,30,36,0,0,0,0,0,0,0,38,4,0,0,0
4073,merged,0,15,0,15,0,1,0,1,-47406,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,221338,2,144,774,0,0,0,0,0,0,0,38,4,0,0,0
4070,merged,3,11,5,3,0,2,0,2,103705,5.992310449541053e+307,0,5.992310449541053e+307,4,0,2,0,217172,2,7,8,0,0,0,0,0,0,0,76,12,8,0,0
4069,merged,0,17,0,17,0,6,0,6,91059035,90505266,2,90470259,12,8,2,0,91075477,3,524,476,23,19,3,0,3,1,17.5035,113,0,8,0,0
4068,merged,1,7,0,6,0,1,0,1,-3147615,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,77200777,3,430,170,0,0,0,0,0,0,0,38,6,4,0,0
4046,merged,1,5,0,4,0,1,0,1,-8529724,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,512863943,2,137,19,0,0,0,0,0,0,0,38,0,0,0,0
4045,merged,0,6,0,6,0,4,0,4,516479.05,5.992310449541053e+307,0,5.992310449541053e+307,8,0,4,0,517237986,3,176,246,0,0,0,0,0,0,0,134,18,32,0,0
4044,merged,0,1,0,1,0,1,0,1,-4950099,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,355389,2,117,25,0,0,0,0,0,0,0,20,0,20,0,0
4040,merged,0,2,0,2,0,1,0,1,-9338213,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,83854715,2,24,4,0,0,0,0,0,0,0,38,0,0,0,0
4034,merged,0,7,0,7,0,2,0,2,1453566,5.992310449541053e+307,0,5.992310449541053e+307,4,2,1,0,1646.59,2,68,14,4,3,0,0,0,0,0,76,1,0,0,0
4004,merged,0,1,0,1,0,1,0,1,-26555,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,141057,2,32,32,0,0,0,0,0,0,0,38,0,0,0,0
4001,merged,4,8,1,3,0,2,0,2,75290955,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,346781,2,630,16,628,16,0,0,0,0,0,76,0,0,0,0
3963,merged,0,4,2,2,0,1,0,1,-3698186,5.992310449541053e+307,0,5.992310449541053e+307,3,0,1,0,2968707,2,31,18,0,0,0,0,0,0,0,0,0,0,0,0
3962,merged,0,5,0,5,0,1,0,1,-23434,5.992310449541053e+307,0,5.992310449541053e+307,3,0,1,0,3133998,2,26,58,0,0,0,0,0,0,0,0,0,0,0,0
3959,merged,0,5,0,5,0,1,0,1,428903042,428318973,1,428318973,3,0,1,0,429185357,2,58,26,0,0,1,0,1,1,0,0,0,0,0,0
